20191030,青浦,华新,欣乐苑,31970元/m2,34套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057269/,2008年建成 ,板楼,0.5至1.27元/平米/月,无,暂无信息,111,2768户
20191030,青浦,华新,华腾路885号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249340/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,华秀路185号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249387/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,青浦,华新,陆象村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102208313/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,3,5户
20191030,青浦,华新,杨家庄村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319380/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,青浦,华新,火星村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319375/,2001年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,凤中路333号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475926279/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,新凤路185号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736496980/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,新风中路555号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736496979/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,凤中路338号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475926280/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,新府北路48弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891471/,2004年建成 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,青浦,华新,徐谢小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014923/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,59,59户
20191030,青浦,华新,新凤中路466号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736496983/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,凤阁路999弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370000/,2012年建成 ,板楼,暂无信息,暂无信息,暂无信息,14,846户
20191030,青浦,华新,建安小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102208311/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,6,54户
20191030,青浦,华新,徐谢小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014923/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,59,59户
20191030,青浦,华新,陆象村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102208313/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,3,5户
20191030,青浦,华新,杨家庄村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319380/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,青浦,华新,火星村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319375/,2001年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,凤星路1469弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019671/,2005年建成 ,板楼,暂无信息,暂无信息,暂无信息,10,92户
20191030,青浦,华新,凤星路1531号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370458/,1989年建成 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,青浦,华新,凤溪街33号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337599/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,青浦,华新,华腾路885号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249340/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,华秀路185号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249387/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,青浦,华新,新苗路147号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066183/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,凤星路1096号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475926252/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,凤中路333号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475926279/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,凤中路338号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475926280/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,新府北路48弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891471/,2004年建成 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,青浦,华新,民兴路90号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475925837/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,凤星路1161弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956205/,1996年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,凤星路1545号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337442/,1989年建成 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,青浦,华新,华富街252号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350711/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,新凤中路466号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736496983/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,凤星路1068弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319536/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,33,33户
20191030,青浦,华新,凤都大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319308/,1995年建成 ,未知,暂无信息,暂无信息,暂无信息,2,71户
20191030,青浦,华新,新凤路185号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736496980/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,新风中路555号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736496979/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,华新,华志路903弄,35986元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018992/,2011年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,224户
20191030,青浦,华新,兆地尊庭,31991元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013327850024101/,2014年建成 ,板楼,1.71元/平米/月,上海通翼物业有限,宝街置业（上海）有限公司,17,244户
20191030,青浦,华新,华富公寓(公寓),25576元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004838/,1998年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,4,32户
20191030,青浦,华新,绿地英伦墅,35717元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004884/,2011年建成 ,板楼,2.85元/平米/月,绿地集团嘉乐,绿地集团上海三友置业,96,96户
20191030,青浦,华新,公园小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019085/,1997年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,12,104户
20191030,青浦,华新,华富公寓(公寓),25576元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004838/,1998年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,4,32户
20191030,青浦,华新,三友星墅(别墅),57705元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002321/,2006年建成 ,板楼,1.71元/平米/月,上海民德物业管理有限,上海三友房地产有限公司,216,216户
20191030,青浦,华新,新大洲华新家苑,28001元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015574/,2004年建成 ,板楼,1.1元/平米/月,上海新大洲物业管理有限,新大洲公司,33,248户
20191030,青浦,华新,华志路903弄,35986元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018992/,2011年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,224户
20191030,青浦,华新,新大洲华庭苑,32448元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011735/,2007年建成 ,板楼,1.1元/平米/月,上海新大洲物业管理有限,上海新大洲房地产开发有限公司,36,412户
20191030,青浦,华新,虹桥宝龙城,35959元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000848/,2002年建成 ,塔板结合,3元/平米/月,泰安宝龙商业物业管理有限,上海宝龙康晟房地产发展有限公司,102,1935户
20191030,青浦,华新,徐泾北城馨浦苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013174429201248/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,38,2315户
20191030,青浦,华新,星尚湾名邸,37937元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000628/,2013年建成 ,板楼,1.75元/平米/月,深圳彩生活,上海文基置业有限公司,70,2633户
20191030,青浦,华新,瑞和明庭,35140元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5020023469094506/,2014年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,74户
20191030,青浦,华新,华腾苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102208164/,2015年建成 ,板楼,1.25元/平米/月,暂无信息,上海金盘房地产有限公司,35,1624户
20191030,青浦,华新,绿地逸湾,31662元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014339/,2011年建成 ,板楼,1.85元/平米/月,长城,绿城集团,12,605户
20191030,青浦,华新,春江三月公寓,35197元/m2,10套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057719/,2012年建成 ,板楼,暂无信息,暂无信息,暂无信息,39,2251户
