20191030,青浦,香花桥,都汇华庭,22614元/m2,23套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015041/,2005年建成 ,塔楼/板楼,1.5元/平米/月,上海纺原物业有限,上海利峰乐置业有限公司,44,707户
20191030,青浦,香花桥,友爱路19号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027306468885/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,崧泽大道9168号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645271072/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,青浦,香花桥,邮电大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013147788030854/,1983年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,24户
20191030,青浦,香花桥,崧泽大道7399号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645271071/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,外青松公路5077号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736497395/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,盈新一村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004938/,1994年建成 ,未知,暂无信息,暂无信息,暂无信息,4,56户
20191030,青浦,香花桥,北青公路9202号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453936/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,紫樱阁,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020028054452201/,暂无信息 ,板楼,1.42元/平米/月,上海财富康盛物业管理有限,上海紫樱房地产开发有限公司,4,74户
20191030,青浦,香花桥,民惠雅苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020035917901302/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,6,132户
20191030,青浦,香花桥,大盈镇信用社职工大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021030332621/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,中宇花苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020016/,2011年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,630户
20191030,青浦,香花桥,外青公路5581号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021709975821/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,清河湾路851号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023469093257/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,清河湾路819弄10号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023469090898/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,外青松公路5633号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736497396/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,祥腾新领寓,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057310/,2010年建成 ,板楼,1.8元/平米/月,暂无信息,暂无信息,5,125户
20191030,青浦,香花桥,民惠佳苑(七区),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020028783549714/,2007年建成 ,板楼,0.6元/平米/月,自主,暂无信息,206,206户
20191030,青浦,香花桥,北青公路9202号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453936/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,崧泽大道7399号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645271071/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,外青松公路5077号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736497395/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,清河湾路1150号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207399/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,390户
20191030,青浦,香花桥,外青松路666弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007285/,2005年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,普光路177号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540058057/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,友爱路19号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027306468885/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,青浦,香花桥,大盈路425弄,18124元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014281626103674/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,4,37户
20191030,青浦,香花桥,香花中路54弄,25743元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891381/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,16户
20191030,青浦,香花桥,民惠佳苑(一区),18744元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001984/,2012年建成 ,板楼,0.35元/平米/月,上海易树物业管理有限,暂无信息,250,267户
20191030,青浦,香花桥,民惠佳苑(三区),15597元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207815/,2012年建成 ,板楼,1.8元/平米/月,暂无信息,暂无信息,90,451户
20191030,青浦,香花桥,友爱路11号,24424元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026894276770/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,3,3户
20191030,青浦,香花桥,北青公路9197弄,18560元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013601931275967/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,5,46户
20191030,青浦,香花桥,城中北路236弄,32888元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337414/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,42户
20191030,青浦,香花桥,普光路131弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019343/,1996年建成 ,板楼,暂无信息,暂无信息,暂无信息,6,50户
20191030,青浦,香花桥,普光路121弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012110867214448/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,6,44户
20191030,青浦,香花桥,北青公路9322弄,20864元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103629/,1995年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,24户
20191030,青浦,香花桥,民惠佳苑(八区),16316元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020029352089230/,2007年建成 ,板楼,0.6元/平米/月,自主,暂无信息,120,120户
20191030,青浦,香花桥,祥腾假日风情商业广场,11726元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004709/,2010年建成 ,板楼,1元/平米/月,上海银顺物力管理有限,上海中冶祥麒投资有限公司,7,242户
20191030,青浦,香花桥,乐活天地四维尔时代广场(商业类),20759元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000095/,2017年建成 ,未知,3.5元/平米/月,园外物业管理,上海四维尔控股集团有限公司,48,713户
20191030,青浦,香花桥,香花中路22弄,18797元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013126720828162/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,5,40户
20191030,青浦,香花桥,民惠佳苑(九区),18730元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207767/,2009年建成 ,板楼,1.8元/平米/月,暂无信息,暂无信息,44,684户
20191030,青浦,香花桥,青赵公路6666号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970660737361/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,126户
20191030,青浦,香花桥,富兴雅苑,25968元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003067/,2013年建成 ,板楼,1.42元/平米/月,富兴雅苑,上海富硕置业发展有限公司,3,96户
