20191030,浦东,祝桥,朗诗未来树,35617元/m2,29套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004037/,2013年建成 ,板楼,2.1元/平米/月,朗诗,上海朗宏置业有限公司,104,1324户
20191030,浦东,祝桥,浦红东路12弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337652/,1989年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,16户
20191030,浦东,祝桥,祝桥工业城三区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027315908593/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,振兴路40号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337365/,1986年建成 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,浦东,祝桥,凌空路115号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350811/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,南祝公路146号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675942083/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,凌空路109号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350809/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,川南奉公路5234号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941502/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,南祝路3955号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012377289666428/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,千汇路566号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249118/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,南祝路155号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675942085/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,7户
20191030,浦东,祝桥,启航路1000号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249115/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,浦东,祝桥,物流大道1018号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015299581348706/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,浦东,祝桥,大沙路4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103343/,1985年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,浦东,祝桥,众济街132号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370347/,1980年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,华兴货运大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011724/,2003年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,凌空路115号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350811/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,鑫新大酒店,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014933/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,东翔路80弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002745/,2000年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,天和商业广场,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020040502235470/,暂无信息 ,板楼,暂无信息,暂无信息,上海祝桥新镇投资发展有限公司,5,5户
20191030,浦东,祝桥,秋亭路128弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023016891978/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,227户
20191030,浦东,祝桥,新世界欢乐城,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018737/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,12,203户
20191030,浦东,祝桥,祝城路87幢,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025610024984/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,祝城路77弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206904/,1998年建成 ,板楼,0.5元/平米/月,祝桥镇物业有限,上海祝桥新镇投资发展有限公司,9,90户
20191030,浦东,祝桥,南祝路246号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021886137019/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,富成大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009424/,2000年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,19户
20191030,浦东,祝桥,祝苑公寓,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207009/,1997年建成 ,板楼,0.5元/平米/月,祝桥镇物业有限,上海祝桥新镇投资发展有限公司,3,36户
20191030,浦东,祝桥,百熙路336,368,380号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292886/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,祝桥镇1088号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025208310190/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,振兴街91号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103971/,1989年建成 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,浦东,祝桥,酱园新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057887/,1992年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,38户
20191030,浦东,祝桥,金亭路503号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701753/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,大华锦绣东郊,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019350/,2006年建成 ,板楼,4.5元/平米/月,恺信亚洲,上海盛临置业有限公司,28,27户
20191030,浦东,祝桥,华星路357号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026362379133/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,百熙路368弄26号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016658046136384/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,90户
20191030,浦东,祝桥,华星路359号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249386/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,千汇路1112号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249116/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,浦东,祝桥,千汇路567号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249119/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,浦东,祝桥,东祝公路1320弄61号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021652268087/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,街道六组2弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020034370509288/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,浦东,祝桥,凉亭南路25弄,29063元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206518/,1997年建成 ,板楼,0.5元/平米/月,祝桥镇物业有限,上海祝桥新镇投资发展有限公司,18,82户
20191030,浦东,祝桥,桃李园小区,25336元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207025/,2003年建成 ,板楼,0.5元/平米/月,自主,上海龙超房地产有限公司,15,144户
20191030,浦东,祝桥,汇商公寓,19695元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207116/,2001年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,6,54户
20191030,浦东,祝桥,东祝公路1320弄62号,22471元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5020021980507425/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,祝桥,祝园公寓,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013968290360843/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,30户
20191030,浦东,祝桥,工业城一区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015959007463668/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,2,2户
20191030,浦东,祝桥,东海御庭,23598元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009472/,2005年建成 ,板楼,7.1元/平米/月,上海高力国际物业服务有限,上海浦东新区水利房地产开发有限公司,141,142户
20191030,浦东,祝桥,祝康南苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020028330322361/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,34,1452户
20191030,浦东,祝桥,祝康苑,30754元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207008/,2013年建成 ,板楼,暂无信息,暂无信息,暂无信息,25,404户
20191030,浦东,祝桥,东方鸿璟,42626元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019952/,2016年建成 ,塔楼/板楼,3.3元/平米/月,上海绿城物业有限,上海航亭置业有限公司,82,896户
20191030,浦东,祝桥,千汇苑四村,27473元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000497/,2007年建成 ,板楼,0.5元/平米/月,祝桥镇物业有限,上海祝桥新镇投资发展有限公司,120,1221户
