20191030,浦东,合庆,环庆新苑,32697元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009871/,2004年建成 ,板楼,0.5元/平米/月,绮云,上海浦东新区合庆房地产有限公司,67,804户
20191030,浦东,合庆,川沙路2355号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024728983798/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,庆滨路126号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025528235840/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,小白路118号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014868165724230/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,川沙路2387号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020022187243779/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,凌家码头61号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020020697906291/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,东川公路5433号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701399/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,龙东大道6111号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024100587873/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,春雷村戴何家宅132号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025608972641/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,胜利路63-65号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970766906259/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,友谊村陈家宅28号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020032105778044/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,凌家码头61号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020020697906291/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,东川公路5433号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701399/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,营房村一队青宴一宅,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021156162983/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,小白路118号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014868165724230/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,川沙路2387号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020022187243779/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,向东村四队宋家宅,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024703797746/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,川沙路3271号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026358182704/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,庆丰村二队龚家宅,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021964779492/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,浦东,合庆,龙东大众,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003610/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,置天1号广场,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020037979610951/,暂无信息 ,板楼,3元/平米/月,上海振群物业有限,上海置天实业有限公司浦东分公司,1,80户
20191030,浦东,合庆,前哨路5705号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249122/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,庆荣路131号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970660737432/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,南华家宅,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102205930/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,2,2户
20191030,浦东,合庆,大星村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012534378410071/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,35,35户
20191030,浦东,合庆,万嘉欣苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370020/,2018年建成 ,板楼,暂无信息,暂无信息,上海一通置业有限公司,15,956户
20191030,浦东,合庆,庆华花苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004868/,2000年建成 ,板楼,1.2元/平米/月,上海合蔡物业管理有限,暂无信息,29,29户
20191030,浦东,合庆,前哨路25号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016612386442517/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,13户
20191030,浦东,合庆,中邦MOHO,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014094/,2000年建成 ,未知,暂无信息,暂无信息,暂无信息,36,80户
20191030,浦东,合庆,庆荣苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021582014023/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,7,70户
20191030,浦东,合庆,庆利苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026369723786/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,31,1260户
20191030,浦东,合庆,东川公路5799号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891455/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,浦东,合庆,环庆中路399号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014439084756828/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,128户
20191030,浦东,合庆,庆利路355号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970660737428/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,浦东,合庆,庆荣路369号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025268176739/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,庆利路391-393(单号),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020028302011952/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,合庆,华夏东路2895弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008141/,1993年建成 ,板楼,0.4元/平米/月,蔡路,暂无信息,6,72户
20191030,浦东,合庆,置天1号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003218/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,104户
20191030,浦东,合庆,梅园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009201/,1996年建成 ,板楼,1.3元/平米/月,陆家嘴,上海陆家嘴金融贸易区开发股份有限公司,25,25户
20191030,浦东,合庆,庆华花苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004868/,2000年建成 ,板楼,1.2元/平米/月,上海合蔡物业管理有限,暂无信息,29,29户
20191030,浦东,合庆,前哨路25号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016612386442517/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,13户
20191030,浦东,合庆,荣华苑,27456元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001290/,2002年建成 ,板楼,0.45元/平米/月,上海昌悦物业管理有限,上海安都房地产发展有限公司,32,307户
20191030,浦东,合庆,庆丰村一队东新宅,25962元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021103733752/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,6,20户
20191030,浦东,合庆,前哨路231弄,25611元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005655/,1997年建成 ,板楼,0.35元/平米/月,上海合蔡物业管理有限,上海安都房地产发展有限公司,21,225户
20191030,浦东,合庆,海馨苑,33789元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004922/,2007年建成 ,板楼,0.7元/平米/月,上海昌悦物业管理有限,上海安都房地产发展有限公司,60,964户
20191030,浦东,合庆,永旭家苑,27105元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010403/,2005年建成 ,板楼,0.35元/平米/月,上海昌悦物业管理有限,上海永旭置业有限公司,35,348户
20191030,浦东,合庆,地纬家苑,31785元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001077/,2007年建成 ,板楼,0.85元/平米/月,上海昌悦物业管理有限,上海永旭置业有限公司,65,720户
20191030,浦东,合庆,绿地海岸城,26290元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057147/,暂无信息 ,板楼,暂无信息,上海盛高物业管理有限,上海合茂房地产发展有限公司,1,240户
20191030,浦东,合庆,张江人才公寓,14614元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014506/,2007年建成 ,板楼,1.2元/平米/月,上海合运物业有限,上海浦庆投资有限公司,88,751户
20191030,浦东,合庆,泰兴公寓,36168元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009667/,1996年建成 ,板楼,1.1元/平米/月,无,暂无信息,15,180户
20191030,浦东,合庆,云舒苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102208103/,2012年建成 ,板楼,1.12元/平米/月,上海合蔡物业管理有限,上海安都房地产发展有限公司,27,494户
