20191030,奉贤,柘林,海岸景苑,14575元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012350/,2006年建成 ,板楼,0.5元/平米/月,上海西乐物业管理有限,上海斌岸房地产开发有限公司,39,504户
20191030,奉贤,柘林,信诺路423号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102205779/,2009年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,柘林,新寺新林路2174号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066252/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,柘林,新北路43弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047402/,1986年建成 ,未知,暂无信息,暂无信息,暂无信息,1,12户
20191030,奉贤,柘林,新北路51号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389558274206/,1986年建成 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,奉贤,柘林,北邬家宅99号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023297987821/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,柘林,新街三村,15610元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102205731/,1983年建成 ,板楼,暂无信息,暂无信息,暂无信息,6,49户
20191030,奉贤,柘林,文化路28弄,11188元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018907/,2007年建成 ,板楼,1元/平米/月,暂无信息,暂无信息,5,43户
20191030,奉贤,柘林,新寺中街81弄,17478元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047280/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,13户
20191030,奉贤,柘林,河南新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389545930067/,1999年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,84户
20191030,奉贤,柘林,花苑新村,15547元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370442/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,6,20户
20191030,奉贤,柘林,胡桥苑,11673元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013474/,1993年建成 ,板楼,0.4元/平米/月,暂无信息,上海营巢房产开发有限公司,16,151户
