区域,名称,地址,均价,建筑年代,户数,楼栋数,链接
闵行,新凯二期,泗泾-外环外,33905元/平,2009-2015年,4207户,236栋,https://m.lianjia.com/sh/xiaoqu/5011102207146/
闵行,浦江宝邸,浦江-外环外,30242元/平,2014年,3844户,60栋,https://m.lianjia.com/sh/xiaoqu/5011000009006/
闵行,聚丰景都,上大-中环至外环,42348元/平,2008-2010年,2797户,165栋,https://m.lianjia.com/sh/xiaoqu/5011000015995/
闵行,凯德嘉博名邸,世博-内环至中环,78758元/平,2012-2013年,553户,10栋,https://m.lianjia.com/sh/xiaoqu/5011000009845/
闵行,保利西子湾,松江大学城-外环外,42270元/平,2008-2010年,3652户,82栋,https://m.lianjia.com/sh/xiaoqu/5011000012581/
闵行,爱家豪庭,临平路-内环内,86705元/平,2007年,666户,6栋,https://m.lianjia.com/sh/xiaoqu/5011000013404/
闵行,华悦家园,漕河泾-内环至中环,75459元/平,2014-2016年,3139户,29栋,https://m.lianjia.com/sh/xiaoqu/5011000002238/
闵行,西凌新邨,蓬莱公园-内环内,76657元/平,1973-1995年,5201户,103栋,https://m.lianjia.com/sh/xiaoqu/5011000008385/
闵行,路易凯旋宫,中山公园-内环内,88103元/平,2003-2004年,725户,10栋,https://m.lianjia.com/sh/xiaoqu/5011000018001/
闵行,丽都成品,金桥-中环至外环,58464元/平,2005年,1121户,31栋,https://m.lianjia.com/sh/xiaoqu/5011000012310/
闵行,嘉利明珠城,闸北公园-内环至中环,76573元/平,2005年,2657户,26栋,https://m.lianjia.com/sh/xiaoqu/5011000017087/
闵行,馨宁公寓,华泾-中环至外环,56831元/平,2011年,4562户,37栋,https://m.lianjia.com/sh/xiaoqu/5011000005330/
闵行,佳泰花园,黄兴公园-内环至中环,67211元/平,2000-2001年,994户,79栋,https://m.lianjia.com/sh/xiaoqu/5011000013012/
闵行,中房公寓,江桥-外环外,40943元/平,2005-2007年,2274户,91栋,https://m.lianjia.com/sh/xiaoqu/5011000013628/
闵行,夏朵园,老闵行-外环外,32535元/平,2006-2008年,3335户,174栋,https://m.lianjia.com/sh/xiaoqu/5011000017935/
闵行,水岸金桥苑,江桥-外环外,41369元/平,2008年,3132户,83栋,https://m.lianjia.com/sh/xiaoqu/5011000012632/
闵行,明日星城(一期),董家渡-内环内,89565元/平,2000-2011年,1369户,19栋,https://m.lianjia.com/sh/xiaoqu/5011000016976/
闵行,春申府邸,莘庄-外环外,48374元/平,2007年,779户,41栋,https://m.lianjia.com/sh/xiaoqu/5011000012320/
闵行,桃浦七村雪松苑,桃浦-外环外,37370元/平,1995年,4364户,188栋,https://m.lianjia.com/sh/xiaoqu/5011000017242/
闵行,万科金色领域,菊园新区-外环外,34557元/平,2012-2014年,1112户,32栋,https://m.lianjia.com/sh/xiaoqu/5011000002786/
闵行,浦江馨都,浦江-外环外,34205元/平,2013年,1986户,52栋,https://m.lianjia.com/sh/xiaoqu/5011000003476/
闵行,星河世纪城,真如-内环至中环,63856元/平,2005-2009年,3701户,99栋,https://m.lianjia.com/sh/xiaoqu/5011000015992/
闵行,嘉园,曹家渡-内环内,89755元/平,1998-2001年,758户,5栋,https://m.lianjia.com/sh/xiaoqu/5011000018221/
闵行,天山怡景苑,天山-内环至中环,89612元/平,2009年,1564户,36栋,https://m.lianjia.com/sh/xiaoqu/5011000013746/
闵行,金桥爱建园,碧云-内环至中环,81954元/平,2003-2004年,1220户,40栋,https://m.lianjia.com/sh/xiaoqu/5011000015037/
闵行,文怡花园,西渡-外环外,24198元/平,1997-2004年,1504户,121栋,https://m.lianjia.com/sh/xiaoqu/5011000009080/
闵行,丰庄十四街坊,丰庄-中环至外环,42086元/平,1994-2001年,3265户,264栋,https://m.lianjia.com/sh/xiaoqu/5011000002149/
闵行,金地褐石苑,泗泾-,41327元/平,2016年,2368户,71栋,https://m.lianjia.com/sh/xiaoqu/5020038950910368/
闵行,丰庄二村,丰庄-中环至外环,41653元/平,1995-1999年,1109户,81栋,https://m.lianjia.com/sh/xiaoqu/5011000014713/
闵行,金杨七街坊,金杨-内环至中环,50643元/平,1995-1996年,3136户,170栋,https://m.lianjia.com/sh/xiaoqu/5011000014777/
闵行,江桥二村,江桥-外环外,37245元/平,1993-2000年,4222户,266栋,https://m.lianjia.com/sh/xiaoqu/5011000018319/
宝山,中远两湾城,中远两湾城-内环内,71377元/平,2000-2006年,11919户,97栋,https://m.lianjia.com/sh/xiaoqu/5011000014141/
宝山,慧芝湖花园,大宁-内环至中环,87422元/平,2007-2012年,3491户,37栋,https://m.lianjia.com/sh/xiaoqu/5011000016384/
宝山,奥林匹克花园,九亭-外环外,41167元/平,1999-2010年,5389户,339栋,https://m.lianjia.com/sh/xiaoqu/5011000015174/
宝山,新城金郡,嘉定新城-外环外,29940元/平,2010-2016年,4997户,122栋,https://m.lianjia.com/sh/xiaoqu/5011000009660/
宝山,世茂滨江花园,陆家嘴-内环内,91929元/平,2002-2009年,3803户,31栋,https://m.lianjia.com/sh/xiaoqu/5011000017872/
宝山,尚海湾豪庭,徐汇滨江-内环至中环,114937元/平,2008-2016年,2344户,32栋,https://m.lianjia.com/sh/xiaoqu/5011063203505/
宝山,阳光威尼斯(三期),真光-中环至外环,46217元/平,2006年,2809户,25栋,https://m.lianjia.com/sh/xiaoqu/5011000017107/
宝山,东方城市花园(二期),南码头-内环至中环,70795元/平,2005-2009年,3662户,87栋,https://m.lianjia.com/sh/xiaoqu/5011000017671/
宝山,崧泽华城佳福雅苑（六区）,赵巷-外环外,28362元/平,2014年,1172户,17栋,https://m.lianjia.com/sh/xiaoqu/5011000001561/
宝山,环球翡翠湾花园(公寓),三林-中环至外环,58799元/平,2006年,1219户,39栋,https://m.lianjia.com/sh/xiaoqu/5011000015945/
宝山,锦绣华都,御桥-中环至外环,51862元/平,2010年,1581户,37栋,https://m.lianjia.com/sh/xiaoqu/5011000014035/
宝山,上海康城,莘庄-外环外,35377元/平,2001-2009年,12245户,288栋,https://m.lianjia.com/sh/xiaoqu/5011102207057/
宝山,绿川新苑,北蔡-内环至中环,47521元/平,1991-2005年,2952户,263栋,https://m.lianjia.com/sh/xiaoqu/5011000014388/
宝山,潍坊九村,潍坊-内环内,98101元/平,1982-1996年,2416户,110栋,https://m.lianjia.com/sh/xiaoqu/5011000015069/
宝山,中凯城市之光(静安),南京西路-内环内,120654元/平,1999-2005年,1787户,25栋,https://m.lianjia.com/sh/xiaoqu/5011000018140/
宝山,万科假日风景(公寓),莘庄-外环外,62611元/平,2002-2006年,4315户,273栋,https://m.lianjia.com/sh/xiaoqu/5011000017605/
宝山,鞍山六村,鞍山-内环内,64818元/平,1953-2010年,2649户,93栋,https://m.lianjia.com/sh/xiaoqu/5011000013450/
宝山,城中花园,康桥-外环外,39545元/平,2005-2012年,2960户,103栋,https://m.lianjia.com/sh/xiaoqu/5011000012222/
宝山,文华苑(宝山),大华-内环至中环,49571元/平,1997-2000年,4248户,276栋,https://m.lianjia.com/sh/xiaoqu/5011000015365/
宝山,澜茵华庭,江桥-外环外,44270元/平,2005年,1911户,140栋,https://m.lianjia.com/sh/xiaoqu/5011000009869/
宝山,潍坊十村,潍坊-内环内,100175元/平,1983-1995年,2402户,109栋,https://m.lianjia.com/sh/xiaoqu/5011000013930/
宝山,九城湖滨国际,九亭-外环外,46718元/平,2007-2009年,3284户,85栋,https://m.lianjia.com/sh/xiaoqu/5011000014093/
宝山,万科城市花园,七宝-外环外,50752元/平,1994-1998年,4821户,303栋,https://m.lianjia.com/sh/xiaoqu/5011000018313/
宝山,竹园新村(浦东),源深-内环内,79222元/平,1987-1998年,3725户,186栋,https://m.lianjia.com/sh/xiaoqu/5011000015678/
宝山,同鸣路157号,鲁迅公园-内环内,66173元/平,1998年,30户,1栋,https://m.lianjia.com/sh/xiaoqu/509099290096520/
宝山,万科琥珀郡园,罗店-外环外,40658元/平,2010-2012年,1087户,162栋,https://m.lianjia.com/sh/xiaoqu/5011000014874/
宝山,绿洲康城亲水湾(中央区),御桥-中环至外环,51374元/平,2007-2018年,4415户,67栋,https://m.lianjia.com/sh/xiaoqu/5011000013546/
宝山,银河新都,春申-外环外,46381元/平,2006-2010年,2586户,71栋,https://m.lianjia.com/sh/xiaoqu/5011000014004/
宝山,鞍山四村第一小区,鞍山-内环内,67616元/平,1953-2008年,2698户,88栋,https://m.lianjia.com/sh/xiaoqu/5011000013940/
宝山,新凯二期,泗泾-外环外,33905元/平,2009-2015年,4207户,236栋,https://m.lianjia.com/sh/xiaoqu/5011102207146/
宝山,浦江宝邸,浦江-外环外,30242元/平,2014年,3844户,60栋,https://m.lianjia.com/sh/xiaoqu/5011000009006/
宝山,聚丰景都,上大-中环至外环,42348元/平,2008-2010年,2797户,165栋,https://m.lianjia.com/sh/xiaoqu/5011000015995/
宝山,凯德嘉博名邸,世博-内环至中环,78758元/平,2012-2013年,553户,10栋,https://m.lianjia.com/sh/xiaoqu/5011000009845/
宝山,保利西子湾,松江大学城-外环外,42270元/平,2008-2010年,3652户,82栋,https://m.lianjia.com/sh/xiaoqu/5011000012581/
宝山,爱家豪庭,临平路-内环内,86705元/平,2007年,666户,6栋,https://m.lianjia.com/sh/xiaoqu/5011000013404/
宝山,华悦家园,漕河泾-内环至中环,75459元/平,2014-2016年,3139户,29栋,https://m.lianjia.com/sh/xiaoqu/5011000002238/
宝山,西凌新邨,蓬莱公园-内环内,76657元/平,1973-1995年,5201户,103栋,https://m.lianjia.com/sh/xiaoqu/5011000008385/
宝山,路易凯旋宫,中山公园-内环内,88103元/平,2003-2004年,725户,10栋,https://m.lianjia.com/sh/xiaoqu/5011000018001/
宝山,丽都成品,金桥-中环至外环,58464元/平,2005年,1121户,31栋,https://m.lianjia.com/sh/xiaoqu/5011000012310/
宝山,嘉利明珠城,闸北公园-内环至中环,76573元/平,2005年,2657户,26栋,https://m.lianjia.com/sh/xiaoqu/5011000017087/
宝山,馨宁公寓,华泾-中环至外环,56831元/平,2011年,4562户,37栋,https://m.lianjia.com/sh/xiaoqu/5011000005330/
宝山,佳泰花园,黄兴公园-内环至中环,67211元/平,2000-2001年,994户,79栋,https://m.lianjia.com/sh/xiaoqu/5011000013012/
宝山,中房公寓,江桥-外环外,40943元/平,2005-2007年,2274户,91栋,https://m.lianjia.com/sh/xiaoqu/5011000013628/
宝山,夏朵园,老闵行-外环外,32535元/平,2006-2008年,3335户,174栋,https://m.lianjia.com/sh/xiaoqu/5011000017935/
宝山,水岸金桥苑,江桥-外环外,41369元/平,2008年,3132户,83栋,https://m.lianjia.com/sh/xiaoqu/5011000012632/
宝山,明日星城(一期),董家渡-内环内,89565元/平,2000-2011年,1369户,19栋,https://m.lianjia.com/sh/xiaoqu/5011000016976/
宝山,春申府邸,莘庄-外环外,48374元/平,2007年,779户,41栋,https://m.lianjia.com/sh/xiaoqu/5011000012320/
宝山,桃浦七村雪松苑,桃浦-外环外,37370元/平,1995年,4364户,188栋,https://m.lianjia.com/sh/xiaoqu/5011000017242/
宝山,万科金色领域,菊园新区-外环外,34557元/平,2012-2014年,1112户,32栋,https://m.lianjia.com/sh/xiaoqu/5011000002786/
宝山,浦江馨都,浦江-外环外,34205元/平,2013年,1986户,52栋,https://m.lianjia.com/sh/xiaoqu/5011000003476/
宝山,星河世纪城,真如-内环至中环,63856元/平,2005-2009年,3701户,99栋,https://m.lianjia.com/sh/xiaoqu/5011000015992/
宝山,嘉园,曹家渡-内环内,89755元/平,1998-2001年,758户,5栋,https://m.lianjia.com/sh/xiaoqu/5011000018221/
宝山,天山怡景苑,天山-内环至中环,89612元/平,2009年,1564户,36栋,https://m.lianjia.com/sh/xiaoqu/5011000013746/
宝山,金桥爱建园,碧云-内环至中环,81954元/平,2003-2004年,1220户,40栋,https://m.lianjia.com/sh/xiaoqu/5011000015037/
宝山,文怡花园,西渡-外环外,24198元/平,1997-2004年,1504户,121栋,https://m.lianjia.com/sh/xiaoqu/5011000009080/
宝山,丰庄十四街坊,丰庄-中环至外环,42086元/平,1994-2001年,3265户,264栋,https://m.lianjia.com/sh/xiaoqu/5011000002149/
宝山,金地褐石苑,泗泾-,41327元/平,2016年,2368户,71栋,https://m.lianjia.com/sh/xiaoqu/5020038950910368/
宝山,丰庄二村,丰庄-中环至外环,41653元/平,1995-1999年,1109户,81栋,https://m.lianjia.com/sh/xiaoqu/5011000014713/
宝山,金杨七街坊,金杨-内环至中环,50643元/平,1995-1996年,3136户,170栋,https://m.lianjia.com/sh/xiaoqu/5011000014777/
宝山,江桥二村,江桥-外环外,37245元/平,1993-2000年,4222户,266栋,https://m.lianjia.com/sh/xiaoqu/5011000018319/
徐汇,中远两湾城,中远两湾城-内环内,71377元/平,2000-2006年,11919户,97栋,https://m.lianjia.com/sh/xiaoqu/5011000014141/
徐汇,慧芝湖花园,大宁-内环至中环,87422元/平,2007-2012年,3491户,37栋,https://m.lianjia.com/sh/xiaoqu/5011000016384/
徐汇,奥林匹克花园,九亭-外环外,41167元/平,1999-2010年,5389户,339栋,https://m.lianjia.com/sh/xiaoqu/5011000015174/
徐汇,新城金郡,嘉定新城-外环外,29940元/平,2010-2016年,4997户,122栋,https://m.lianjia.com/sh/xiaoqu/5011000009660/
徐汇,世茂滨江花园,陆家嘴-内环内,91929元/平,2002-2009年,3803户,31栋,https://m.lianjia.com/sh/xiaoqu/5011000017872/
徐汇,尚海湾豪庭,徐汇滨江-内环至中环,114937元/平,2008-2016年,2344户,32栋,https://m.lianjia.com/sh/xiaoqu/5011063203505/
徐汇,阳光威尼斯(三期),真光-中环至外环,46217元/平,2006年,2809户,25栋,https://m.lianjia.com/sh/xiaoqu/5011000017107/
徐汇,东方城市花园(二期),南码头-内环至中环,70795元/平,2005-2009年,3662户,87栋,https://m.lianjia.com/sh/xiaoqu/5011000017671/
徐汇,崧泽华城佳福雅苑（六区）,赵巷-外环外,28362元/平,2014年,1172户,17栋,https://m.lianjia.com/sh/xiaoqu/5011000001561/
徐汇,环球翡翠湾花园(公寓),三林-中环至外环,58799元/平,2006年,1219户,39栋,https://m.lianjia.com/sh/xiaoqu/5011000015945/
徐汇,锦绣华都,御桥-中环至外环,51862元/平,2010年,1581户,37栋,https://m.lianjia.com/sh/xiaoqu/5011000014035/
徐汇,上海康城,莘庄-外环外,35377元/平,2001-2009年,12245户,288栋,https://m.lianjia.com/sh/xiaoqu/5011102207057/
徐汇,绿川新苑,北蔡-内环至中环,47521元/平,1991-2005年,2952户,263栋,https://m.lianjia.com/sh/xiaoqu/5011000014388/
徐汇,潍坊九村,潍坊-内环内,98101元/平,1982-1996年,2416户,110栋,https://m.lianjia.com/sh/xiaoqu/5011000015069/
徐汇,中凯城市之光(静安),南京西路-内环内,120654元/平,1999-2005年,1787户,25栋,https://m.lianjia.com/sh/xiaoqu/5011000018140/
徐汇,万科假日风景(公寓),莘庄-外环外,62611元/平,2002-2006年,4315户,273栋,https://m.lianjia.com/sh/xiaoqu/5011000017605/
徐汇,鞍山六村,鞍山-内环内,64818元/平,1953-2010年,2649户,93栋,https://m.lianjia.com/sh/xiaoqu/5011000013450/
徐汇,城中花园,康桥-外环外,39545元/平,2005-2012年,2960户,103栋,https://m.lianjia.com/sh/xiaoqu/5011000012222/
徐汇,文华苑(宝山),大华-内环至中环,49571元/平,1997-2000年,4248户,276栋,https://m.lianjia.com/sh/xiaoqu/5011000015365/
